Ages_10_to,Ages_10to1,Ages_15_to,Ages_15to1,Ages_18_an,Ages_18and,Ages_20_to,Ages_20to2,Ages_25_to,Ages_25to4,Ages_45_to,Ages_45to6,Ages_5_to_,Ages_5to9,Ages_65_an,Ages_65and,Ages_Under,BoroCD,Borough_name,CounDist,OBJECTID,Precinct,SUM_ASZ,SUM_BikeFatal,SUM_BikeInj,SUM_Enhanced_Crossings,SUM_Fatalities,SUM_Injuries,SUM_LPI,SUM_Left_Turn_Traffic_Calming,SUM_MVFatal,SUM_MVInj,SUM_NeighSlowZones,SUM_PedFatal,SUM_PedInj,SUM_SIPCorridors,SUM_SIPIntersections,SUM_SignalTiming,SUM_SpeedHumps,SUM_Turn_Traffic_Calming,SUM_VZ_Bike,SUM_VZ_Priority_Corridors,SUM_VZ_Priority_Intersections,SUM_VZ_Priority_Zones,Shape_Area,Shape_Area_1,Shape_Leng,Shape_Length,Shape_Length_1,TotalPop,Total_Pop,geometry_x,geometry_y,source_layer_id
2180,,1936,,50480,,3065,,27567,,13959,,2896,,5291,,4205,,,,50,78,2.525362331551628,0,10,0,0,102,117,6,0,68,4.478063876552631,0,18,25.36285622062535,21,8.712494975269436,92,11,0,3.9219780044813297,3,8.177330808130973,67680703.1060648,,39751.5427898,39751.54255286318,,,61099,,,0
6135,,6716,,66956,,8552,,29867,,18210,,6281,,7535,,6997,,,,51,79,1.060625448128005,0,13,0,0,111,146,24,0,65,0.49817401899425867,0,30,4.4943622476041964,4,17.22954050408425,115,48,42.41612197559457,8.818333240859692,6,32.713764508282146,44975547.37373457,,28256.6021125,28256.602426684138,,,90263,,,0
4345,,4923,,46933,,5141,,19045,,14784,,4182,,5984,,4318,,,,52,81,1.3375103119823022,0,5,0,0,77,97,2,0,47,0,0,20,2.5525079226047143,3,45.30351070237914,92,10,35.61613692657465,6.202049303000146,1,29.584440570574714,34485430.76140383,,28386.7190017,28386.719336444126,,,62722,,,0
7683,,8630,,83984,,11809,,38125,,22003,,7753,,8387,,8244,,,,53,83,0.24996539740237841,0,5,0,0,115,65,1,0,65,0,0,40,11.113734249339268,20,16.191068644811626,68,10,55.29368114567078,5.112464776606633,0,19.981498240407536,56650181.71777893,,36940.1948081,36940.19454996661,,,112634,,,0
1428,,1834,,41356,,3217,,21413,,10575,,1673,,5111,,2945,,,,54,84,2.1780164683055405,0,6,2,1,64,55,11,1,42,12.706174647380418,0,16,14.627441564759348,17,0.9400467186289211,38,21,0,3.3327998417555253,7,14.236216032553772,35460492.209810115,,38087.9116109,38087.82355343572,,,48196,,,0
1969,,3385,,43242,,4369,,20680,,10444,,1986,,5701,,2887,,,,55,88,1.0746068473228318,0,14,5,0,62,63,10,0,31,4.392530162127298,0,13,13.048712667495606,14,14.487832015951149,86,14,1.282281453035592,4.19755009029734,2,10.709977041452834,42391493.76594759,,53333.0183334,53332.78882831622,,,51421,,,0
8481,,8631,,81597,,11557,,37840,,19231,,9613,,9486,,11997,,,,56,90,0,0,21,1,0,107,117,7,0,56,0,0,24,12.001739794502347,22,2.3191639135246387,13,25,2.2483964358141715,6.04034669864992,2,35.17614468483868,66149821.95873452,,51508.5347209,51508.53540169025,,,116836,,,0
1494,,1783,,50222,,4887,,28230,,11164,,1459,,5180,,2050,,,,57,94,2.1038467664117473,0,12,5,2,71,50,1,0,44,0,2,11,17.267265729068555,41,10.857602326450348,21,21,0,1.391891794493366,1,0,65629987.66438877,,42426.6648993,42426.66584079644,,,56247,,,0
2969,,3191,,37180,,2775,,11935,,14013,,2920,,7299,,2811,,,,58,100,0,0,1,1,0,40,18,2,0,32,0,0,7,15.246421004068699,22,6.012772072620057,38,2,0,0,0,0,205274590.78142035,,283837.901684,283834.65829908155,,,47913,,,0
5200,,5538,,47101,,5012,,17292,,14595,,5355,,8020,,6053,,,,59,101,0,0,1,1,0,60,23,0,0,42,0,0,15,3.7767805975417286,21,1.554371333576503,50,8,0,0,2,0,84865775.6356612,,78830.7585447,78824.67781579947,,,67065,,,0
